data_pobrania,kod,nazwa,upvotes,mentions,rank,mention_change,source_url
2026-09-26T00:44:07+02:00,SPY,SPDR S&P 500 ETF Trust,701,249,1,2,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,META,Meta Platforms (Facebook),422,168,2,-130,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,MU,Micron Technology,319,142,3,25,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,MSFT,Microsoft,151,76,4,48,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,DTE,DTE Energy,266,64,5,9,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,AMD,AMD,195,63,6,-11,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,QQQ,Invesco QQQ ETF,121,58,7,-11,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,TSLA,Tesla,100,57,8,38,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,NVDA,NVIDIA,160,49,9,3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,SNDK,Sandisk,115,46,10,-13,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,NBIS,Nebius Group,145,42,11,-23,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,TLT,BlackRock Institutional Trust Company N.A. - BTC iShares 20+ Year Trea,50,38,12,2,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,GLND,Greenland Energy Company,91,37,13,28,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,GOOG,Alphabet (Google),46,28,14,-13,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,RKLB,Rocket Lab USA,57,24,15,1,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,AMZN,Amazon,204,24,16,3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,USO,United States Commodity Funds LLC - United States Oil Fund,34,20,17,-4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,VOO,Vanguard S&P 500 ETF,203,19,18,-16,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,AVGO,Broadcom,44,19,19,1,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,RDDT,Reddit,159,17,20,-2,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,INTC,Intel,22,17,21,-2,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,IT,Gartner,48,16,22,-5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,GOOGL,Alphabet (Google),66,15,23,-28,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,YOU,CLEAR Secure,37,15,24,1,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,JAGX,Jaguar Health,59,14,25,13,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,NKE,Nike,28,14,26,10,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,ORCL,Oracle,224,14,27,-30,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,EU,enCore Energy,30,13,28,-6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,BE,Bloom Energy,253,13,29,1,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,SMCI,Supermicro,25,13,30,5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,AAPL,Apple,17,13,31,-4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,IQ,iQIYI,494,12,32,3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,MRNA,Moderna,17,12,33,-3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,NFLX,Netflix,29,12,34,6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-09-26T00:44:07+02:00,UP,Wheels Up,22,11,35,2,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
