data_pobrania,kod,nazwa,upvotes,mentions,rank,mention_change,source_url
2026-07-30T00:12:16+02:00,MU,Micron Technology,3902,944,1,410,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,SNDK,Sandisk,5744,513,2,111,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,SPY,SPDR S&P 500 ETF Trust,2886,494,3,120,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,MSFT,Microsoft,2117,481,4,268,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,META,Meta Platforms (Facebook),1039,335,5,266,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,QQQ,Invesco QQQ ETF,765,301,6,134,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,NVDA,NVIDIA,416,169,7,-41,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,AAPL,Apple,417,127,8,22,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,NBIS,Nebius Group,537,116,9,62,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,SPCX,SpaceX,364,96,10,-116,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,DTE,DTE Energy,265,85,11,31,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,TSLA,Tesla,202,83,12,-2,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,SOXL,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bull 3X Share,164,65,13,10,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,AMD,AMD,307,59,14,-36,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,HOOD,Robinhood,181,59,15,22,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,VOO,Vanguard S&P 500 ETF,203,54,16,23,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,SOFI,SoFi,129,52,17,43,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,GOOG,Alphabet (Google),136,49,18,6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,IT,Gartner,631,48,19,24,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,NOW,ServiceNow,119,44,20,6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-30T00:12:16+02:00,RKLB,Rocket Lab USA,420,43,21,-3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
